Gamma,Tau,LR_Actor,LR_Critic,Batch_Size,Average_Reward
0.995, 0.005, 0.001, 0.001, 64, -912.8445348378709
0.995, 0.005, 0.001, 0.0005, 128, -915.3393081305499
0.99, 0.005, 0.0001, 0.0005, 128, -928.4384235091588
0.99, 0.01, 0.0005, 0.001, 128, -936.5942285132766
1.0, 0.01, 0.001, 0.001, 128, -945.0600221387203
1.0, 0.01, 0.0005, 0.0005, 256, -951.0730729432022
0.99, 0.005, 0.0005, 0.0005, 64, -972.4293117708244
0.99, 0.01, 0.001, 0.0005, 128, -985.7340405200251
0.99, 0.005, 0.001, 0.0005, 128, -997.6231630165192
0.995, 0.002, 0.0001, 0.0005, 64, -999.1634491721667
1.0, 0.002, 0.0001, 0.0005, 64, -1002.2375782468504
0.995, 0.002, 0.0001, 0.0001, 256, -1016.5060358186286
0.99, 0.01, 0.001, 0.0001, 256, -1032.8974997504824
1.0, 0.01, 0.0001, 0.001, 128, -1033.4433810883027
1.0, 0.01, 0.001, 0.0005, 256, -1045.0427757707794
0.995, 0.005, 0.0005, 0.0005, 64, -1045.9408489584223
0.99, 0.01, 0.0001, 0.0005, 128, -1062.4223027109472
0.995, 0.01, 0.0005, 0.0005, 128, -1067.1191796020742
0.995, 0.01, 0.0001, 0.0005, 128, -1067.5234345713193
1.0, 0.002, 0.001, 0.0005, 64, -1069.5223440512875
1.0, 0.005, 0.001, 0.0005, 128, -1069.6232494336687
0.99, 0.005, 0.0001, 0.0005, 64, -1075.064933926601
1.0, 0.005, 0.0001, 0.001, 64, -1078.7140995022273
0.995, 0.005, 0.001, 0.001, 64, -1080.6453776287428
0.99, 0.005, 0.0001, 0.0001, 128, -1089.8356133863806
0.99, 0.005, 0.0005, 0.0005, 128, -1090.1069905722202
0.995, 0.005, 0.0001, 0.0005, 64, -1094.2098813468874
0.995, 0.01, 0.0005, 0.001, 64, -1094.6174626142567
1.0, 0.01, 0.0005, 0.0005, 128, -1095.6688814386346
1.0, 0.01, 0.0001, 0.0005, 64, -1101.3500302917787
0.99, 0.005, 0.0005, 0.0001, 256, -1102.777909304403
1.0, 0.002, 0.001, 0.0001, 256, -1109.9023078482446
0.995, 0.002, 0.0005, 0.0001, 256, -1110.582434200399
1.0, 0.002, 0.0001, 0.0001, 256, -1117.7689475247798
0.995, 0.002, 0.0005, 0.0001, 128, -1118.2451283020027
1.0, 0.005, 0.0005, 0.0001, 256, -1122.6714523739386
0.99, 0.01, 0.0005, 0.0001, 256, -1123.2928138124162
1.0, 0.01, 0.0005, 0.0005, 64, -1126.0451253615875
0.99, 0.002, 0.0001, 0.0001, 256, -1129.2921541123249
0.995, 0.005, 0.0005, 0.0005, 128, -1133.7569078393424
0.995, 0.01, 0.0005, 0.0001, 256, -1134.655047782706
0.99, 0.005, 0.0005, 0.0001, 128, -1134.798645921427
0.99, 0.005, 0.001, 0.0001, 256, -1136.1961924331267
0.99, 0.002, 0.0005, 0.0001, 256, -1136.2000024440877
0.99, 0.01, 0.001, 0.001, 64, -1136.240302463045
0.99, 0.01, 0.0001, 0.0001, 128, -1136.3748158977685
0.99, 0.01, 0.0005, 0.0001, 128, -1137.7832897372532
0.995, 0.01, 0.0001, 0.0001, 128, -1138.2042804533053
0.99, 0.002, 0.001, 0.0001, 128, -1142.5056430888144
1.0, 0.005, 0.001, 0.0005, 64, -1143.8079866416908
1.0, 0.005, 0.0001, 0.0001, 256, -1145.513514703053
0.995, 0.005, 0.001, 0.0005, 64, -1146.935620234311
1.0, 0.005, 0.0005, 0.0005, 128, -1146.9735886162941
0.995, 0.005, 0.0001, 0.0001, 256, -1147.081506253846
0.995, 0.005, 0.0001, 0.0001, 128, -1149.62784873279
0.995, 0.01, 0.0001, 0.0001, 256, -1154.2423202797045
0.99, 0.01, 0.0001, 0.0001, 256, -1156.8844675765677
1.0, 0.01, 0.0001, 0.0001, 128, -1158.6531837515881
0.995, 0.005, 0.0005, 0.0001, 256, -1158.7322192641948
0.995, 0.01, 0.001, 0.0005, 64, -1159.3088706891242
1.0, 0.002, 0.0005, 0.0001, 64, -1159.4771803322042
1.0, 0.005, 0.0005, 0.0001, 128, -1161.4503921508483
0.99, 0.002, 0.0005, 0.0001, 128, -1163.3427487200852
0.995, 0.002, 0.001, 0.0001, 256, -1165.592468085202
0.995, 0.005, 0.001, 0.0001, 256, -1165.9963306439986
1.0, 0.01, 0.0005, 0.0001, 128, -1166.298518314088
